"ID"	"Session"	"Date"	"Trades"	"Min. price"	"Max.price"	"Weighted avg. price"	"Weighted closing price"	"Volume in Securities"	"Volume in GEL"
"3847"	"TSIF"	"585"	"29/12/05"	1	0.5	0.5	0.5	NA	6254	3127
"3848"	"TSIF"	"638"	"13/07/06"	1	0.5	0.5	0.5	NA	3000	1500
"3849"	"TSIF"	"773"	"12/09/07"	1	0.277	0.277	0.277	0.277	7200	1994.4
"3850"	"TSIF"	"924"	"26/09/08"	2	0.6	0.8	0.665	0.8	7448	4953
"3851"	"TSK1"	"297"	"20/02/03"	2	1	1	1	NA	8708	8708
"3852"	"TTEA"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3853"	"TUSB"	"326"	"3/06/03"	2	107	108	107.5	NA	2	215
"3854"	"TUSB"	"394"	"5/02/04"	1	106	106	106	NA	1	106
"3855"	"TUSB"	"470"	"2/11/04"	1	91	91	91	NA	1	91
"3856"	"TUSB"	"473"	"11/11/04"	1	91	91	91	NA	1	91
"3857"	"TUSB"	"478"	"2/12/04"	1	91	91	91	NA	1	91
"3858"	"TUSB"	"487"	"6/01/05"	1	91	91	91	NA	1	91
"3859"	"TUSB"	"489"	"13/01/05"	1	91	91	91	NA	1	91
"3860"	"TUSB"	"495"	"3/02/05"	1	91	91	91	NA	1	91
"3861"	"TUSB"	"599"	"23/02/06"	1	90	90	90	NA	1	90
"3862"	"TUSB"	"608"	"28/03/06"	1	90	90	90	NA	1	90
"3863"	"TUSB"	"612"	"11/04/06"	1	90	90	90	NA	3	270
"3864"	"TUSB"	"614"	"18/04/06"	1	90	90	90	NA	6	540
"3865"	"TUSB"	"615"	"20/04/06"	1	90	90	90	NA	3	270
"3866"	"TUSB"	"620"	"11/05/06"	1	90	90	90	NA	2	180
"3867"	"TUSB"	"625"	"30/05/06"	1	90	90	90	NA	2	180
"3868"	"TUSB"	"628"	"8/06/06"	1	90	90	90	NA	4	360
"3869"	"TUSB"	"641"	"25/07/06"	3	90	90	90	NA	3	270
"3870"	"TUSB"	"665"	"19/10/06"	3	90	90	90	NA	3	270
"3871"	"TUSB"	"670"	"7/11/06"	4	90	90	90	90	4	360
"3872"	"TUSB"	"681"	"19/12/06"	1	100	100	100	100	9	900
"3873"	"TUSB"	"696"	"13/02/07"	1	90	90	90	90	1	90
"3874"	"TUSB"	"705"	"20/03/07"	1	90	90	90	90	1	90
"3875"	"TUSB"	"723"	"18/05/07"	2	100	100	100	100	2	200
"3876"	"TUSB"	"730"	"4/06/07"	1	100	100	100	100	7	700
"3877"	"TUSB"	"765"	"24/08/07"	1	350	350	350	350	1	350
"3878"	"UGB"	"10"	"25/04/00"	4	0.4	0.41	0.403	NA	1063	428.2
